anonuser,mealplanid,Item.Name,Item.Cost,Vendor,days,hrs,mins,country,gender,major,yeargroup,food.type
1008,20 GHC Limit Account,PACK,0.5,Mannies Catering LTD,Friday,22,8,Ghana,Male,CS,2018,Non-Beverage
1059,MCF Account,PACK,0.5,Mannies Catering LTD,Friday,21,39,Gambia,Male,Unkn,2018,Non-Beverage
1131,15 GHC Limit Account,WATER SMALL,1,Mannies Catering LTD,Friday,21,30,Ghana,Female,CS,2018,Non-Beverage
1144,20 GHC Limit Account,BB COCKTAIL,3,Mannies Catering LTD,Friday,21,20,Nigeria,Male,BA,2017,Beverage
1058,MCF Account,JOLLOF & CHICKEN,7,Mannies Catering LTD,Friday,21,18,Ghana,Male,BA,2017,Non-Beverage
1005,15 GHC Limit Account,MP FANDANGO,2.75,Akorno Catering LTD,Friday,21,15,Benin,Male,CS,2017,Beverage
1053,MCF Account,PACK,0.5,Mannies Catering LTD,Friday,21,9,Ghana,Male,CS,2017,Non-Beverage
1070,15 GHC Limit Account,Small Bottle Water,1,Akorno Catering LTD,Friday,21,8,Ghana,Female,BA,2017,Non-Beverage
1149,15 GHC Limit Account,JOLLOF & CHICKEN,7,Mannies Catering LTD,Friday,21,6,Ghana,Female,CS,2017,Non-Beverage
1120,20 GHC Limit Account,Small Bottle Water,1,Akorno Catering LTD,Friday,21,5,Ghana,Female,MIS,2017,Non-Beverage
1043,15 GHC Limit Account,PACK,0.5,Mannies Catering LTD,Friday,21,4,Ghana,Male,CS,2018,Non-Beverage
1106,MCF Account,PACK,0.5,Mannies Catering LTD,Friday,21,1,Kenya,Female,Unkn,2018,Non-Beverage
1086,MCF Account,PACK,0.5,Mannies Catering LTD,Friday,20,53,Ghana,Male,BA,2018,Non-Beverage
1111,MCF Account,MP FANDANGO,2.75,Akorno Catering LTD,Friday,20,42,Ghana,Male,CS,2018,Beverage
1082,MCF Account,Classic: Jollof Rice,5.2,Akorno Catering LTD,Friday,20,40,Ghana,Female,Unkn,2018,Non-Beverage
1157,20 GHC Limit Account, MP TAKEOUT PACK,0.55,Akorno Catering LTD,Friday,20,28,Ghana,Male,Unkn,2018,Non-Beverage
1158,MCF Account,FRENCH FRIES& CHK,7,Mannies Catering LTD,Friday,20,24,Ghana,Female,BA,2017,Non-Beverage
1027,MCF Account,MANNIES SP F,9,Mannies Catering LTD,Friday,20,23,Sierra Leone,Female,BA,2017,Non-Beverage
1039,20 GHC Limit Account,Deluxe:Chips & Chicken,6.9,Akorno Catering LTD,Friday,20,18,Ghana,Male,CS,2017,Non-Beverage
1150,20 GHC Limit Account,Classic:Stir fry spaghetti,5.2,Akorno Catering LTD,Friday,20,17,Ghana,Male,CS,2018,Non-Beverage
1151,MCF Account,MP FANICE,0.99,Akorno Catering LTD,Friday,20,16,Ghana,Male,Unkn,2018,Beverage
1076,MCF Account,BREAD ONLY,1,Mannies Catering LTD,Friday,20,15,Rwanda,Male,MIS,2018,Non-Beverage
1072,20 GHC Limit Account,Chocolate Drink,2,Akorno Catering LTD,Friday,20,15,Ghana,Female,Unkn,2018,Beverage
1047,20 GHC Limit Account,H-WAAKYE/OMLET,5,Mannies Catering LTD,Friday,20,13,Nigeria,Female,BA,2017,Non-Beverage
